cand_nm,gender,pol_party
"Cruz, Rafael Edward 'Ted'",male,Republican
"Clinton, Hillary Rodham",female,Democrat
"Sanders, Bernard",male,Democrat
"Walker, Scott",male,Republican
"Bush, Jeb",male,Republican
"Rubio, Marco",male,Republican
"Christie, Christopher J.",male,Republican
"Kasich, John R.",male,Republican
"Stein, Jill",female,Green
"Johnson, Gary",male,Libertarian
"Trump, Donald J.",male,Republican
"Paul, Rand",male,Republican
"Graham, Lindsey O.",male,Republican
"Carson, Benjamin S.",male,Republican
"Fiorina, Carly",female,Republican
"Jindal, Bobby",male,Republican
"Santorum, Richard J.",male,Republican
"Huckabee, Mike",male,Republican
"O'Malley, Martin Joseph",male,Democrat
"McMullin, Evan",male,Independent
"Lessig, Lawrence",male,Democrat
"Perry, James R. (Rick)",male,Republican
"Pataki, George E.",male,Republican
"Webb, James Henry Jr.",male,Independent
